customer_name,base,protein,guac,queso,chips_salsa,chips_queso,chips_guacamole,brownie,cookie,16oz,22oz,order_cost,date
odiuiob,N/A,N/A,0,0,0,1,0,0,1,0,0,5.68,10/1/2022
odiuiob,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
cdoepba,Bowl,Beef,0,0,0,1,0,0,0,1,1,16.58,10/1/2022
cdoepba,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
giywvye,N/A,N/A,0,0,0,0,1,1,1,0,1,10.07,10/1/2022
giywvye,N/A,N/A,0,0,0,1,0,1,0,1,0,7.67,10/1/2022
giywvye,N/A,N/A,0,0,0,1,0,0,0,1,0,5.68,10/1/2022
giywvye,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
fcbrlux,Burrito,Steak,1,0,0,0,0,0,1,1,0,14.53,10/1/2022
fcbrlux,Bowl,Beef,0,1,0,0,0,1,1,0,1,16.16,10/1/2022
fcbrlux,Bowl,Vegetables,1,1,0,0,0,1,1,0,1,17.26,10/1/2022
fcbrlux,Bowl,Vegetables,0,0,0,0,0,1,0,0,0,9.28,10/1/2022
qqgnwal,Burrito,Vegetables,1,1,1,0,0,1,0,1,0,17.72,10/1/2022
qqgnwal,N/A,N/A,0,0,1,0,0,0,0,1,0,4.18,10/1/2022
qqgnwal,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
qqgnwal,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
kazgfqm,Burrito,Chicken,0,0,0,0,1,1,0,1,0,15.17,10/1/2022
kazgfqm,N/A,N/A,0,0,0,0,0,0,0,1,1,3.98,10/1/2022
kazgfqm,N/A,N/A,0,0,0,0,0,0,0,1,1,3.98,10/1/2022
kazgfqm,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
tgzbrgk,N/A,N/A,0,0,0,0,0,1,0,0,1,4.44,10/1/2022
tgzbrgk,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
tgzbrgk,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
klknmzy,Burrito,Beef,1,1,0,0,1,0,1,1,0,20.07,10/1/2022
klknmzy,N/A,N/A,0,0,0,0,0,0,1,1,0,3.98,10/1/2022
klknmzy,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
bgpyamg,Bowl,Vegetables,0,0,0,0,0,1,0,1,0,11.53,10/1/2022
bgpyamg,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
bgpyamg,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
bgpyamg,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
grjwsks,Bowl,Steak,1,1,0,0,1,1,1,0,0,19.91,10/1/2022
grjwsks,Burrito,Steak,1,0,0,1,0,0,1,0,1,17.96,10/1/2022
grjwsks,N/A,N/A,0,0,1,0,0,0,1,0,1,6.17,10/1/2022
grjwsks,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
tgykhid,N/A,N/A,0,0,1,0,0,0,1,1,0,6.43,10/1/2022
tgykhid,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
wvksbux,Bowl,Chicken,0,1,0,0,0,1,0,0,1,13.73,10/1/2022
wvksbux,N/A,N/A,0,0,0,0,0,0,0,1,1,3.98,10/1/2022
wvksbux,N/A,N/A,0,0,0,0,0,0,0,1,1,3.98,10/1/2022
jaiswbp,Burrito,Steak,1,0,0,0,0,1,1,1,1,18.97,10/1/2022
jaiswbp,Burrito,Steak,1,1,0,0,0,0,1,1,0,16.27,10/1/2022
jaiswbp,N/A,N/A,0,0,0,0,0,0,1,1,0,3.98,10/1/2022
jaiswbp,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
wvivnjb,Bowl,Vegetables,0,1,0,0,0,0,0,1,1,13.99,10/1/2022
wvivnjb,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
wvivnjb,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
udzcoge,N/A,N/A,0,0,0,0,1,1,1,1,1,12.32,10/1/2022
udzcoge,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
udzcoge,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
udzcoge,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
kzfkohz,Burrito,Chicken,0,1,0,0,0,0,1,1,1,15.98,10/1/2022
kzfkohz,N/A,N/A,0,0,0,0,0,0,1,1,1,5.97,10/1/2022
kzfkohz,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
kzfkohz,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
qzogksz,Burrito,Chicken,1,1,0,0,0,0,0,0,1,13.74,10/1/2022
nhtyetb,Bowl,Chicken,0,1,0,0,0,0,1,1,1,15.98,10/1/2022
nhtyetb,N/A,N/A,0,0,1,0,0,1,1,0,0,6.17,10/1/2022
nhtyetb,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
bsodqwu,N/A,N/A,0,0,0,0,0,1,1,1,0,6.23,10/1/2022
bsodqwu,Bowl,Chicken,1,1,0,0,0,1,0,0,0,13.28,10/1/2022
bsodqwu,Burrito,Steak,0,0,0,0,0,1,0,0,0,10.28,10/1/2022
bsodqwu,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
pbftoou,Burrito,Vegetables,0,1,1,0,0,1,1,1,1,20.16,10/1/2022
pbftoou,Bowl,Steak,1,1,0,1,0,1,0,0,1,19.96,10/1/2022
pbftoou,Bowl,Steak,1,0,1,0,0,0,0,0,0,12.48,10/1/2022
pbftoou,Bowl,Chicken,0,1,1,0,0,0,0,0,0,11.48,10/1/2022
skzqviz,Burrito,Chicken,1,1,0,0,0,0,1,0,1,15.73,10/1/2022
skzqviz,Burrito,Steak,0,1,0,0,0,1,0,1,0,14.27,10/1/2022
skzqviz,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
skzqviz,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
fyheugk,Burrito,Beef,0,0,0,0,0,0,1,1,1,14.88,10/1/2022
fyheugk,Burrito,Beef,0,0,0,0,0,0,1,1,0,12.17,10/1/2022
fyheugk,N/A,N/A,0,0,0,0,0,0,1,1,0,3.98,10/1/2022
fyheugk,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
qfprtss,N/A,N/A,0,0,0,0,0,0,1,0,1,4.44,10/1/2022
qfprtss,N/A,N/A,0,0,0,1,0,1,0,0,0,5.68,10/1/2022
qfprtss,N/A,N/A,0,0,0,1,0,1,0,0,0,5.68,10/1/2022
fgcztae,N/A,N/A,0,0,1,0,0,0,1,0,1,6.63,10/1/2022
fgcztae,N/A,N/A,0,0,0,0,0,1,1,0,0,3.98,10/1/2022
fgcztae,N/A,N/A,0,0,0,0,0,1,1,0,0,3.98,10/1/2022
fgcztae,N/A,N/A,0,0,0,0,0,1,1,0,0,3.98,10/1/2022
uwbebsz,Burrito,Beef,1,0,0,0,0,1,1,1,1,18.87,10/1/2022
uwbebsz,N/A,N/A,0,0,0,0,0,1,0,1,0,3.98,10/1/2022
uwbebsz,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
wysayou,Burrito,Steak,1,0,0,0,0,1,0,1,1,16.98,10/1/2022
lchgglp,Bowl,Beef,0,1,0,0,1,1,1,0,1,20.26,10/1/2022
lchgglp,Burrito,Steak,1,0,0,0,0,0,0,0,0,10.29,10/1/2022
lchgglp,N/A,N/A,0,0,0,0,0,0,0,0,0,0,10/1/2022
viuuyxv,Burrito,Chicken,1,0,0,0,1,0,0,0,0,12.93,10/1/2022
viuuyxv,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
viuuyxv,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
viuuyxv,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
hqfjbfd,Bowl,Chicken,1,1,1,0,0,0,1,1,1,20.17,10/1/2022
hqfjbfd,N/A,N/A,0,0,0,0,0,1,0,0,1,3.98,10/1/2022
lfrpjoa,Bowl,Chicken,0,0,1,0,0,0,0,1,1,14.18,10/1/2022
lfrpjoa,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
lfrpjoa,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
lfrpjoa,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
skzpjkw,Bowl,Vegetables,1,1,0,1,0,0,1,0,1,19.42,10/1/2022
skzpjkw,N/A,N/A,0,0,0,0,0,1,0,0,1,3.98,10/1/2022
skzpjkw,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
llgzjfh,Burrito,Vegetables,0,1,0,0,0,0,0,1,0,11.54,10/1/2022
llgzjfh,N/A,N/A,0,0,1,0,0,0,1,0,1,6.17,10/1/2022
llgzjfh,N/A,N/A,0,0,1,0,0,0,1,0,1,6.17,10/1/2022
llgzjfh,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
yljqwvb,Bowl,Steak,0,0,1,0,0,0,1,0,1,14.92,10/1/2022
yljqwvb,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
yljqwvb,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
ftifnmc,Bowl,Chicken,1,0,0,0,0,1,0,0,1,13.73,10/1/2022
ftifnmc,Bowl,Beef,0,1,0,0,0,0,1,1,1,16.16,10/1/2022
ftifnmc,Burrito,Vegetables,1,1,0,0,0,0,1,1,0,15.27,10/1/2022
ftifnmc,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
fjydbqo,Bowl,Chicken,0,0,1,0,0,0,1,0,0,11.47,10/1/2022
fjydbqo,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
fjydbqo,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
fjydbqo,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
imyesnk,Burrito,Steak,0,1,0,0,0,0,0,1,1,14.99,10/1/2022
imyesnk,N/A,N/A,0,0,0,1,0,1,0,0,1,7.67,10/1/2022
imyesnk,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
wmhoymy,N/A,N/A,0,0,0,0,0,0,1,1,0,4.24,10/1/2022
wmhoymy,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
wmhoymy,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
hasaktg,Burrito,Chicken,0,0,1,0,0,1,1,0,1,15.91,10/1/2022
hasaktg,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
hasaktg,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
xikfmkg,Bowl,Beef,0,1,0,0,0,0,0,1,1,14.89,10/1/2022
xikfmkg,Bowl,Vegetables,1,0,0,0,0,0,0,1,1,13.27,10/1/2022
xikfmkg,Bowl,Chicken,1,0,0,0,0,0,0,0,1,11.28,10/1/2022
xikfmkg,Bowl,Chicken,0,1,0,0,0,0,0,0,1,11.28,10/1/2022
tcmbpsa,N/A,N/A,0,0,1,0,0,1,1,1,0,8.42,10/1/2022
tcmbpsa,Burrito,Steak,0,0,0,0,0,0,1,0,1,12.27,10/1/2022
tcmbpsa,N/A,N/A,0,0,0,0,0,0,1,0,1,3.98,10/1/2022
tcmbpsa,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
nclibgl,Burrito,Steak,1,0,0,1,0,1,1,1,1,22.66,10/1/2022
nclibgl,Bowl,Chicken,1,1,1,0,0,1,0,0,0,15.47,10/1/2022
nclibgl,Bowl,Steak,1,0,1,0,0,1,0,0,0,14.47,10/1/2022
jaixzem,N/A,N/A,0,0,0,1,0,0,1,0,1,8.13,10/1/2022
jaixzem,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
jaixzem,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
jpxliqv,Bowl,Beef,0,1,0,0,0,1,0,0,1,14.63,10/1/2022
jpxliqv,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
jpxliqv,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
jynfexs,Bowl,Beef,0,0,1,0,0,1,1,0,1,16.81,10/1/2022
jynfexs,Bowl,Steak,0,0,0,1,0,0,0,1,0,13.97,10/1/2022
jynfexs,Burrito,Vegetables,1,1,0,0,0,0,0,1,0,13.28,10/1/2022
ekqmfdo,Bowl,Beef,1,0,1,0,0,1,0,0,1,16.82,10/1/2022
ekqmfdo,N/A,N/A,0,0,1,0,0,0,0,0,1,4.18,10/1/2022
kpordqv,Bowl,Steak,1,0,0,0,1,1,1,1,0,20.16,10/1/2022
kpordqv,N/A,N/A,0,0,1,0,0,1,1,1,0,8.16,10/1/2022
kpordqv,N/A,N/A,0,0,0,1,0,1,1,1,0,9.66,10/1/2022
kpordqv,N/A,N/A,0,0,0,0,0,1,1,1,0,5.97,10/1/2022
mcpbxvf,Burrito,Vegetables,1,0,0,0,0,0,0,1,0,11.54,10/1/2022
mcpbxvf,Burrito,Beef,0,0,0,0,0,0,0,1,0,10.18,10/1/2022
mcpbxvf,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
mcpbxvf,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
vawzhcv,Bowl,Beef,0,0,0,0,0,0,1,1,0,12.43,10/1/2022
vawzhcv,Bowl,Steak,0,1,1,0,0,0,1,0,0,14.47,10/1/2022
vawzhcv,Bowl,Steak,0,0,0,1,0,0,0,0,0,11.98,10/1/2022
vawzhcv,Burrito,Chicken,0,0,1,0,0,0,0,0,0,9.48,10/1/2022
obdxqdu,Bowl,Chicken,1,1,0,0,0,0,1,0,1,15.73,10/1/2022
obdxqdu,N/A,N/A,0,0,0,1,0,1,0,0,0,5.68,10/1/2022
obdxqdu,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
amiejdo,Bowl,Beef,1,1,0,0,0,0,1,1,1,18.88,10/1/2022
amiejdo,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
kjbtfpy,N/A,N/A,0,0,0,0,0,1,0,1,1,6.69,10/1/2022
kjbtfpy,N/A,N/A,0,0,0,1,0,0,0,1,1,7.67,10/1/2022
kjbtfpy,N/A,N/A,0,0,1,0,0,0,0,1,1,6.17,10/1/2022
kjbtfpy,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
agaqxow,Burrito,Chicken,0,1,0,0,1,0,0,0,1,15.38,10/1/2022
agaqxow,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
agaqxow,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
agaqxow,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
cwrzopk,Bowl,Beef,0,0,0,0,0,0,0,0,0,8.19,10/1/2022
cwrzopk,Burrito,Vegetables,0,1,1,0,0,0,0,0,1,13.47,10/1/2022
cwrzopk,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
cwrzopk,N/A,N/A,0,0,0,0,0,0,0,0,0,0,10/1/2022
moguull,Bowl,Steak,1,0,1,0,0,0,0,1,0,14.73,10/1/2022
moguull,N/A,N/A,0,0,0,0,0,1,0,0,1,3.98,10/1/2022
moguull,N/A,N/A,0,0,0,0,0,1,0,0,1,3.98,10/1/2022
edeypmh,N/A,N/A,0,0,0,1,0,0,1,0,0,5.68,10/1/2022
edeypmh,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
edeypmh,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
dkwqhmr,Burrito,Chicken,0,1,0,0,0,0,0,0,0,9.29,10/1/2022
dkwqhmr,Bowl,Chicken,1,1,0,0,0,0,0,1,0,13.28,10/1/2022
dkwqhmr,Bowl,Beef,1,0,0,0,0,0,0,1,0,12.18,10/1/2022
dkwqhmr,Bowl,Chicken,0,1,0,0,0,0,0,1,0,11.28,10/1/2022
fhwjiuk,Burrito,Vegetables,1,1,0,0,0,0,1,1,1,17.98,10/1/2022
fhwjiuk,N/A,N/A,0,0,0,0,0,0,1,1,0,3.98,10/1/2022
fhwjiuk,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
nekdrya,N/A,N/A,0,0,0,0,0,1,0,1,0,4.24,10/1/2022
nekdrya,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
kpmnmtv,N/A,N/A,0,0,0,0,1,1,1,1,0,9.87,10/1/2022
kpmnmtv,Burrito,Beef,0,0,1,0,0,0,1,0,1,14.36,10/1/2022
kpmnmtv,N/A,N/A,0,0,0,0,0,0,1,0,1,3.98,10/1/2022
kpmnmtv,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
ptwebcs,Bowl,Steak,0,0,0,0,0,0,0,0,0,8.29,10/1/2022
ptwebcs,Bowl,Steak,0,1,0,0,0,1,0,1,0,14.27,10/1/2022
ptwebcs,Burrito,Beef,0,0,0,0,0,1,0,1,0,12.17,10/1/2022
ptwebcs,N/A,N/A,0,0,0,0,0,1,0,1,0,3.98,10/1/2022
onfdvrg,Bowl,Steak,0,0,0,0,1,0,1,0,1,16.37,10/1/2022
onfdvrg,N/A,N/A,0,0,0,0,0,1,0,1,0,3.98,10/1/2022
onfdvrg,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
onfdvrg,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
qyogmrr,Bowl,Vegetables,1,1,0,0,0,0,0,0,1,13.74,10/1/2022
qyogmrr,Bowl,Vegetables,1,1,0,0,0,0,1,0,0,13.28,10/1/2022
qyogmrr,Burrito,Steak,0,1,0,0,0,0,0,0,0,10.29,10/1/2022
hudacdk,Burrito,Chicken,0,1,1,0,0,0,0,0,1,13.93,10/1/2022
hudacdk,N/A,N/A,0,0,0,0,0,1,0,0,1,3.98,10/1/2022
gfmfvrh,Burrito,Beef,0,1,1,0,0,0,1,0,1,16.82,10/1/2022
gfmfvrh,Bowl,Beef,0,0,0,0,0,0,0,1,0,10.18,10/1/2022
gfmfvrh,Bowl,Beef,1,0,0,0,0,0,0,0,0,10.19,10/1/2022
gfmfvrh,Bowl,Steak,0,0,0,0,0,0,0,0,0,8.29,10/1/2022
wpjxpwu,Burrito,Beef,0,1,0,0,0,1,0,1,1,16.88,10/1/2022
wpjxpwu,N/A,N/A,0,0,0,0,0,0,0,1,1,3.98,10/1/2022
wpjxpwu,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
prmondx,Bowl,Chicken,0,1,1,0,0,0,1,0,0,13.47,10/1/2022
prmondx,N/A,N/A,0,0,0,0,0,0,0,1,1,3.98,10/1/2022
prmondx,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
prmondx,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
yxaoiga,Bowl,Beef,0,1,0,0,0,1,1,0,1,16.62,10/1/2022
yxaoiga,Burrito,Vegetables,0,1,0,1,0,1,0,1,0,16.96,10/1/2022
yxaoiga,N/A,N/A,0,0,1,0,0,0,0,1,0,4.18,10/1/2022
dzgpdsm,Bowl,Chicken,0,1,1,0,0,1,0,0,1,15.92,10/1/2022
dzgpdsm,Bowl,Beef,0,0,0,0,0,1,0,1,1,14.16,10/1/2022
dzgpdsm,Burrito,Steak,0,1,0,0,0,0,0,0,1,12.28,10/1/2022
dzgpdsm,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
jguwlma,Bowl,Beef,0,0,0,0,0,1,0,0,0,10.18,10/1/2022
jguwlma,N/A,N/A,0,0,1,0,0,0,1,0,0,4.18,10/1/2022
jguwlma,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
jguwlma,N/A,N/A,0,0,0,0,0,0,1,0,0,1.99,10/1/2022
cfjhsgo,Burrito,Chicken,0,1,0,0,0,1,1,0,1,15.72,10/1/2022
cfjhsgo,Bowl,Beef,1,1,0,0,0,0,1,0,0,14.18,10/1/2022
cfjhsgo,Bowl,Beef,1,1,0,0,0,0,1,0,0,14.18,10/1/2022
iljgvwg,Burrito,Beef,1,1,0,0,0,0,1,0,1,16.63,10/1/2022
iljgvwg,N/A,N/A,0,0,0,1,0,0,1,1,0,7.67,10/1/2022
iljgvwg,N/A,N/A,0,0,1,0,0,0,1,1,0,6.17,10/1/2022
iljgvwg,N/A,N/A,0,0,0,1,0,0,1,0,0,5.68,10/1/2022
kgflsen,Bowl,Vegetables,0,0,0,0,0,0,1,0,0,9.28,10/1/2022
kgflsen,Burrito,Vegetables,1,1,0,0,0,0,0,1,0,13.28,10/1/2022
kgflsen,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
kgflsen,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
dojjrnb,N/A,N/A,0,0,0,0,0,1,0,1,1,6.69,10/1/2022
nfnloyk,Bowl,Vegetables,0,0,0,0,0,0,1,1,0,11.53,10/1/2022
nfnloyk,Bowl,Vegetables,0,0,0,0,0,0,0,0,0,7.29,10/1/2022
nfnloyk,Bowl,Vegetables,1,1,0,0,0,0,0,0,0,11.29,10/1/2022
nfnloyk,Bowl,Chicken,1,0,0,0,0,0,0,0,0,9.29,10/1/2022
ujtjene,Burrito,Steak,1,0,0,0,0,1,1,0,1,16.72,10/1/2022
ujtjene,N/A,N/A,0,0,0,0,0,0,0,1,1,3.98,10/1/2022
ujtjene,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
ujtjene,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
nkqbbss,Burrito,Steak,0,1,0,0,0,1,0,1,0,14.53,10/1/2022
nkqbbss,Burrito,Steak,1,0,1,0,0,1,0,0,0,14.47,10/1/2022
nkqbbss,N/A,N/A,0,0,0,1,0,1,0,0,0,5.68,10/1/2022
nkqbbss,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
scivswx,N/A,N/A,0,0,0,0,0,0,1,1,1,6.69,10/1/2022
scivswx,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
scivswx,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
scivswx,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
stzdyan,Burrito,Beef,0,1,0,0,0,1,1,1,0,16.42,10/1/2022
stzdyan,Burrito,Steak,1,0,0,0,0,0,1,0,0,12.28,10/1/2022
pvbykjf,Bowl,Steak,0,1,0,0,0,0,1,0,0,12.28,10/1/2022
pvbykjf,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
ujxvpoa,N/A,N/A,0,0,0,0,1,1,0,1,1,10.33,10/1/2022
ujxvpoa,N/A,N/A,0,0,1,0,0,1,0,0,0,4.18,10/1/2022
ujxvpoa,N/A,N/A,0,0,0,1,0,1,0,0,0,5.68,10/1/2022
ujxvpoa,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
oyeadni,Burrito,Chicken,0,0,0,1,0,0,0,1,0,13.23,10/1/2022
oyeadni,N/A,N/A,0,0,1,0,0,0,0,0,1,4.18,10/1/2022
oyeadni,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
oyeadni,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
rrqmpmy,Bowl,Chicken,1,0,0,0,0,1,0,1,0,13.53,10/1/2022
rrqmpmy,Burrito,Chicken,0,0,0,0,0,0,0,1,0,9.28,10/1/2022
rrqmpmy,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
rrqmpmy,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
rqhettd,Bowl,Chicken,0,1,0,1,0,0,0,1,1,17.68,10/1/2022
